=== AVAILABLE GEMINI MODELS ===
ID: gemini-2.5-flash | Display: Gemini 2.5 Flash
ID: gemini-2.5-pro | Display: Gemini 2.5 Pro
ID: gemini-2.0-flash-exp | Display: Gemini 2.0 Flash Experimental
ID: gemini-2.0-flash | Display: Gemini 2.0 Flash
ID: gemini-2.0-flash-001 | Display: Gemini 2.0 Flash 001
ID: gemini-2.0-flash-exp-image-generation | Display: Gemini 2.0 Flash (Image Generation) Experimental
ID: gemini-2.0-flash-lite-001 | Display: Gemini 2.0 Flash-Lite 001
ID: gemini-2.0-flash-lite | Display: Gemini 2.0 Flash-Lite
ID: gemini-2.0-flash-lite-preview-02-05 | Display: Gemini 2.0 Flash-Lite Preview 02-05
ID: gemini-2.0-flash-lite-preview | Display: Gemini 2.0 Flash-Lite Preview
ID: gemini-exp-1206 | Display: Gemini Experimental 1206
ID: gemini-2.5-flash-preview-tts | Display: Gemini 2.5 Flash Preview TTS
ID: gemini-2.5-pro-preview-tts | Display: Gemini 2.5 Pro Preview TTS
ID: gemini-flash-latest | Display: Gemini Flash Latest
ID: gemini-flash-lite-latest | Display: Gemini Flash-Lite Latest
ID: gemini-pro-latest | Display: Gemini Pro Latest
ID: gemini-2.5-flash-lite | Display: Gemini 2.5 Flash-Lite
ID: gemini-2.5-flash-image-preview | Display: Nano Banana
ID: gemini-2.5-flash-image | Display: Nano Banana
ID: gemini-2.5-flash-preview-09-2025 | Display: Gemini 2.5 Flash Preview Sep 2025
ID: gemini-2.5-flash-lite-preview-09-2025 | Display: Gemini 2.5 Flash-Lite Preview Sep 2025
ID: gemini-3-pro-preview | Display: Gemini 3 Pro Preview
ID: gemini-3-flash-preview | Display: Gemini 3 Flash Preview
ID: gemini-3-pro-image-preview | Display: Nano Banana Pro
ID: gemini-robotics-er-1.5-preview | Display: Gemini Robotics-ER 1.5 Preview
ID: gemini-2.5-computer-use-preview-10-2025 | Display: Gemini 2.5 Computer Use Preview 10-2025
ID: gemini-embedding-exp-03-07 | Display: Gemini Embedding Experimental 03-07
ID: gemini-embedding-exp | Display: Gemini Embedding Experimental
ID: gemini-embedding-001 | Display: Gemini Embedding 001
